Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sweden,SWE,7628000000,9714000000,11889000000,11732000000,9769000000,10674000000,10209000000,10104000000,10857000000,11846000000,11307000000,12633000000
Eswatini,SWZ,77300000,75100000,32200000,26300000,40100000,51400000,10100000,29100000,4200000,15600000,14200000,13200000
Sint Maarten (Dutch part),SXM,659000000,651000000,665000000,667000000,619000000,681000000,729000000,854000000,871000000,922000000,913000000,871000000
Seychelles,SYC,269000000,323000000,396000000,408000000,349000000,352000000,380000000,429000000,484000000,480000000,483000000,505000000
Syrian Arab Republic,SYR,2035000000,2113000000,2972000000,3176000000,3781000000,6308000000,1816000000,,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,
Chad,TCD,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,64442768432,77275609267,93861663500,1.00624E+11,91996356276,1.07113E+11,1.22628E+11,1.34893E+11,1.48484E+11,1.41318E+11,1.45437E+11,1.50897E+11
Europe & Central Asia (IDA & IBRD countries),TEC,56119997644,60342285864,75441585538,90929751364,77645944368,77816285768,92416562285,96163393856,1.06287E+11,1.06066E+11,91358484911,85466525384
Togo,TGO,27000000,23000000,38000000,44000000,73000000,105000000,209000000,206000000,233000000,233000000,212000000,
Thailand,THA,12103000000,16624000000,20625000000,22510000000,19811000000,23796000000,30924000000,37766000000,45738000000,42047000000,48527000000,52465000000
Tajikistan,TJK,9100000,11200000,16500000,23700000,19500000,141500000,184100000,286600000,233300000,220200000,146000000,149600000
Turkmenistan,TKM,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,39864000000,44051700000,49342600000,53874800000,49764100000,52391700000,57437500000,61607700000,65536000000,72343000000,74799000000,79779327883
Timor-Leste,TLS,,20300000,26000000,14000000,16000000,24000000,18000000,21000000,29000000,35000000,51000000,58000000
Middle East & North Africa (IDA & IBRD countries),TMN,27372100000,30489800000,36898800000,42240800000,42797000000,50180000000,39335460828,42267034363,38851897968,42839608141,39194158626,32948689896
Tonga,TON,15000000,15700000,15200000,19400000,16900000,28000000,31700000,45800000,48100000,,,
South Asia (IDA & IBRD),TSA,10332764644,12108880939,14814675272,16316000000,14988000000,18960000000,22962000000,23896000000,25806000000,28693000000,29921400000,32306000000
Sub-Saharan Africa (IDA & IBRD countries),TSS,19504398562,21846713406,25926956589,26096273958,24122265070,27102369340,30275601066,32912830017,33079096873,33785016909,31448555056,31198802043
Trinidad and Tobago,TTO,593000000,517000000,621000000,557000000,548000000,630000000,650000000,852000000,856000000,875000000,809000000,708000000
Tunisia,TUN,2800000000,2999000000,3373000000,3909000000,3524000000,3477000000,2529000000,2931000000,2863000000,3042000000,1869000000,1706000000
Turkey,TUR,20760000000,19137000000,21662000000,26446000000,26331000000,26318000000,30302000000,31566000000,36192000000,38766000000,35451000000,26695000000
Tuvalu,TUV,1200000,1200000,1500000,1900000,1500000,2400000,2400000,2700000,2400000,,,
Tanzania,TZA,835000000,986000000,1215000000,1293000000,1192000000,1279000000,1383000000,1754000000,1939000000,2047000000,1924000000,2157000000
Uganda,UGA,382000000,347000000,402000000,536000000,683000000,802000000,977000000,1157000000,1355000000,810000000,1180000000,768000000
Ukraine,UKR,3542000000,4018000000,5320000000,6722000000,4349000000,4696000000,5406000000,5988000000,5931000000,2264000000,1662000000,1723000000
Upper middle income,UMC,1.53919E+11,1.71959E+11,2.01716E+11,2.24447E+11,2.07692E+11,2.24371E+11,2.50531E+11,2.66568E+11,2.90692E+11,2.9106E+11,2.83769E+11,2.83667E+11
Uruguay,URY,699000000,711000000,928000000,1195000000,1460000000,1669000000,2401000000,2219000000,2015000000,1869000000,1880000000,2156000000
United States,USA,1.22077E+11,1.26778E+11,1.44223E+11,1.64721E+11,1.46002E+11,1.67996E+11,1.87629E+11,2.00997E+11,2.18496E+11,2.3599E+11,2.47394E+11,2.44708E+11
Uzbekistan,UZB,28000000,43000000,51000000,64000000,99000000,121000000,,,,,,
St. Vincent and the Grenadines,VCT,104000000,113000000,110000000,96000000,88000000,86000000,92000000,94000000,92000000,175000000,202000000,208000000
"Venezuela, RB",VEN,722000000,843000000,972000000,1097000000,1053000000,885000000,806000000,904000000,926000000,900000000,654000000,546000000
British Virgin Islands,VGB,412000000,438000000,451000000,446000000,374000000,389000000,388000000,398000000,421000000,459000000,484000000,
Virgin Islands (U.S.),VIR,1432000000,1468000000,1513000000,1157000000,1021000000,1223000000,1122000000,1210000000,1168000000,1319000000,1324000000,
Vietnam,VNM,2300000000,2850000000,3750000000,3930000000,3050000000,4450000000,5710000000,6850000000,7250000000,7410000000,7350000000,8250000000
Vanuatu,VUT,104000000,109000000,142000000,188000000,214000000,242000000,249000000,268000000,314000000,284000000,254000000,
World,WLD,8.1724E+11,8.83533E+11,1.02294E+12,1.12134E+12,1.00988E+12,1.09984E+12,1.23189E+12,1.28555E+12,1.379E+12,1.45132E+12,1.37768E+12,1.39252E+12
Samoa,WSM,73800000,88400000,102400000,111600000,115200000,123700000,134900000,148200000,137200000,146700000,126400000,
Kosovo,XKX,,,,,,,,,,,,
"Yemen, Rep.",YEM,181000000,181000000,425000000,886000000,899000000,1291000000,910000000,1005000000,1097000000,1199000000,116000000,
South Africa,ZAF,8629000000,9211000000,10226000000,9178000000,8684000000,10309000000,10706000000,11202000000,10468000000,10484000000,9140000000,8807000000
Zambia,ZMB,447000000,506000000,599000000,542000000,474000000,492000000,555000000,518000000,552000000,642000000,660000000,683000000
Zimbabwe,ZWE,99000000,338000000,365000000,294000000,129000000,135000000,164000000,174000000,183000000,186000000,191000000,194000000
